epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,527.801,0.34183,0.44178,0.26815,0.80885,0.99899,0.99296,0.995,0.97474,0.99899,0.99296,0.995,0.95108,0.23044,0.3129,0.19319,0.7946,0.0009308,0.0009308,0.0009308
110,532.216,0.35137,0.4077,0.27388,0.81919,0.9996,0.99296,0.995,0.97243,0.9996,0.99296,0.995,0.95341,0.25347,0.29203,0.19703,0.79685,0.0009209,0.0009209,0.0009209
111,536.539,0.34837,0.41307,0.27332,0.81513,0.99958,0.99296,0.995,0.9746,0.99958,0.99296,0.995,0.93476,0.24672,0.31523,0.19683,0.79882,0.000911,0.000911,0.000911
112,540.76,0.34424,0.42241,0.27038,0.80721,0.99963,0.99296,0.995,0.97996,0.99254,0.98592,0.98449,0.93546,0.2717,0.29206,0.20457,0.7994,0.0009011,0.0009011,0.0009011
113,545.075,0.34461,0.43295,0.27771,0.81366,0.9996,0.99296,0.995,0.97657,0.99251,0.98592,0.98585,0.93992,0.24396,0.30008,0.18677,0.79431,0.0008912,0.0008912,0.0008912
114,549.345,0.33806,0.42979,0.27505,0.80369,0.99956,0.99296,0.995,0.978,0.99247,0.98592,0.987,0.9462,0.23549,0.31545,0.19012,0.79341,0.0008813,0.0008813,0.0008813
115,553.672,0.33583,0.4037,0.26757,0.81165,0.99959,0.99296,0.995,0.97727,0.9925,0.98592,0.98727,0.94599,0.24344,0.33004,0.18997,0.79373,0.0008714,0.0008714,0.0008714
116,557.951,0.33963,0.40947,0.26739,0.80885,0.99955,0.99296,0.995,0.98,0.99246,0.98592,0.98792,0.93176,0.21886,0.32724,0.18205,0.79333,0.0008615,0.0008615,0.0008615
117,562.229,0.33959,0.41174,0.26444,0.81279,0.99941,0.99296,0.995,0.97825,0.99941,0.99296,0.995,0.94878,0.23413,0.29899,0.19145,0.79478,0.0008516,0.0008516,0.0008516
118,566.493,0.34169,0.42491,0.26894,0.809,0.99961,0.99296,0.995,0.98045,0.99252,0.98592,0.98845,0.94382,0.23711,0.30421,0.19303,0.79505,0.0008417,0.0008417,0.0008417
119,570.754,0.34122,0.40024,0.26474,0.80905,0.99957,0.99296,0.995,0.98089,0.99248,0.98592,0.98939,0.93853,0.2473,0.33307,0.2025,0.79802,0.0008318,0.0008318,0.0008318
120,575.03,0.3378,0.40377,0.26494,0.81409,0.99958,0.99296,0.995,0.97897,0.99249,0.98592,0.98897,0.94369,0.25363,0.35837,0.19571,0.79917,0.0008219,0.0008219,0.0008219
121,579.354,0.34105,0.40921,0.26371,0.80727,0.99958,0.99296,0.995,0.97343,0.99249,0.98592,0.98891,0.94328,0.24481,0.33563,0.19536,0.79834,0.000812,0.000812,0.000812
122,583.667,0.33791,0.40795,0.26978,0.81104,0.99967,0.99296,0.995,0.97376,0.99258,0.98592,0.98786,0.93799,0.25387,0.31066,0.19968,0.80196,0.0008021,0.0008021,0.0008021
